Fish_ID,Group,Water_Temp_C,Water_pH,Water_O2_mgL,Chlorides_mgL,Nitrites_mgL,Nitrates_mgL,Ammonium_mgL,Phosphates_mgL,Feed_Type,Bodymass_g,Protein_perc,Lipids_perc
252,AG,23.02,7.728,6.399,94.64,0.127,2.371,0.2631,0.121,1,1915.65,12.659,3.235
253,AG,27.19,7.38,7.31,83.76,0.1545,2.484,0.2804,0.1014,1,1963.24,14.27,3.973
254,AG,19.04,7.545,3.642,102.73,0.0849,2.391,0.1857,0.136,1,1983.69,14.439,3.734
255,AG,21.26,7.391,7.741,92.04,0.1163,2.114,0.2332,0.1441,1,1916.92,12.986,3.387
256,AG,24.33,7.406,5.081,97.74,0.1694,1.298,0.2756,0.1278,1,1942.5,11.11,3.597
257,AG,23.3,7.616,6.898,89.82,0.0879,1.995,0.1504,0.207,1,2027.42,14.259,3.586
258,AG,20.87,7.494,6.796,108.15,0.1735,1.303,0.2207,0.1112,1,1793.12,15.687,3.682
259,AG,21.6,7.761,7.802,87.99,0.1853,1.205,0.1531,0.1957,1,1979.48,12.923,3.521
260,AG,17.88,7.428,7.161,92.3,0.1289,1.896,0.161,0.0984,1,1924.1,14.137,2.676
261,AG,21.29,7.65,3.647,95.86,0.1488,2.009,0.1862,0.1429,1,1684.0,14.335,3.071
262,AG,21.2,7.515,5.558,86.26,0.1736,2.161,0.2486,0.1873,1,1952.45,13.843,3.599
263,AG,22.7,7.619,6.666,97.64,0.126,1.999,0.2007,0.1853,1,1922.74,16.258,3.479
264,AG,20.33,7.433,6.266,107.9,0.166,2.013,0.1811,0.1232,1,1883.86,12.517,2.711
265,AG,23.41,7.493,7.073,91.08,0.1199,1.406,0.2231,0.1622,1,1963.66,17.509,3.574
266,AG,25.04,7.483,7.447,98.16,0.1257,1.758,0.1512,0.1568,1,1997.86,12.214,3.408
267,AG,22.47,7.375,7.23,73.0,0.116,1.197,0.2457,0.1184,1,2156.02,10.905,3.41
268,AG,23.06,7.599,6.243,94.69,0.1503,0.999,0.2879,0.1646,1,1792.04,13.278,3.585
269,AG,22.16,7.598,4.284,92.5,0.1747,2.096,0.2152,0.2145,1,1857.88,11.79,3.486
270,AG,22.0,7.589,5.953,88.45,0.1345,1.499,0.2078,0.1589,1,2012.17,13.895,3.608
271,AG,19.84,7.731,7.0,103.65,0.1019,2.149,0.2424,0.1627,1,1941.6,14.029,3.116
272,AG,22.95,7.717,5.191,92.39,0.1075,2.243,0.0983,0.1669,1,1977.42,14.021,3.471
273,AG,21.71,7.444,7.258,93.58,0.1518,1.552,0.2522,0.0816,1,2265.84,12.913,2.879
274,AG,28.28,7.556,7.59,91.98,0.1953,2.036,0.4,0.1584,1,2096.95,13.189,3.911
275,AG,26.72,7.406,6.652,79.67,0.1518,1.536,0.2126,0.0993,1,2156.97,13.204,3.357
276,AG,23.16,7.504,3.5,85.94,0.1284,1.062,0.2129,0.1164,1,1878.68,14.541,3.978
277,AG,19.71,7.41,4.966,102.69,0.163,1.849,0.2646,0.2265,1,1735.15,13.3,4.055
278,AG,18.66,7.743,8.763,78.12,0.1328,1.612,0.3187,0.1299,1,1922.39,12.995,2.687
279,AG,25.57,7.555,5.844,88.87,0.1287,1.624,0.2785,0.1104,1,2057.8,10.36,2.629
280,AG,22.79,7.467,4.119,91.8,0.1112,2.59,0.0907,0.1861,1,1954.56,13.78,4.043
281,AG,23.44,7.679,7.982,108.95,0.1823,1.19,0.2538,0.1021,1,1977.04,12.458,2.998
282,AG,16.77,7.174,6.516,101.15,0.0638,1.953,0.3743,0.1221,1,1820.34,11.068,2.795
283,AG,24.78,7.198,7.826,90.54,0.1639,1.402,0.2573,0.19,1,1943.56,14.817,3.308
284,AG,23.36,7.619,6.832,105.44,0.1261,2.163,0.1507,0.1417,1,1897.67,11.846,3.267
285,AG,18.67,7.509,7.05,89.08,0.1277,1.919,0.2369,0.0775,1,1994.03,16.589,3.286
286,AG,20.59,7.538,6.936,103.07,0.1908,1.952,0.1432,0.1618,1,1994.26,15.505,3.227
287,AG,22.79,7.301,7.337,84.13,0.1186,1.422,0.294,0.1241,1,1852.48,13.508,3.66
288,AG,22.16,7.497,9.233,103.59,0.1196,1.494,0.1626,0.2016,1,2036.9,13.817,3.464
289,AG,21.12,7.801,7.665,91.75,0.1361,2.171,0.2245,0.1158,1,1861.0,15.679,3.005
290,AG,21.69,7.624,4.604,86.77,0.1524,2.508,0.1685,0.182,1,1968.67,13.918,3.434
291,AG,21.24,7.525,7.036,93.26,0.1267,1.992,0.1872,0.211,1,1904.28,13.52,3.623
292,AG,22.46,7.434,7.87,97.22,0.0928,1.441,0.3092,0.106,1,2132.39,13.85,3.443
293,AG,26.41,7.441,7.943,91.04,0.114,1.936,0.2262,0.1323,1,1958.35,11.347,3.774
294,AG,14.3,7.181,5.988,99.43,0.1784,2.771,0.1864,0.1555,1,1834.28,12.827,2.799
295,AG,21.29,7.539,7.898,90.34,0.1422,1.841,0.1513,0.1057,1,2020.89,13.53,3.102
296,AG,22.53,7.627,7.613,99.96,0.1535,2.385,0.1077,0.1508,1,1829.77,15.891,3.44
297,AG,22.89,7.264,9.587,98.54,0.1322,1.504,0.1449,0.131,1,1963.37,15.605,2.986
298,AG,20.88,7.401,5.6,94.51,0.1202,1.783,0.2267,0.1302,1,1866.34,15.315,2.975
299,AG,16.73,7.326,5.891,91.47,0.1903,2.048,0.2788,0.142,1,1798.79,12.895,2.731
300,AG,22.98,7.355,6.133,96.21,0.1344,1.959,0.1864,0.1429,1,1874.5,14.931,3.343
301,AG,27.18,7.508,5.912,99.4,0.1267,1.493,0.3142,0.1466,1,2099.8,12.256,3.906
302,AG,17.4,7.187,5.432,111.49,0.1729,1.476,0.1769,0.116,1,1739.7,13.348,3.376
303,AG,24.59,7.592,3.5,102.52,0.1183,2.195,0.2057,0.1178,1,1959.28,13.298,3.265
304,AG,21.01,7.613,5.978,102.81,0.1222,2.277,0.1552,0.1353,1,1922.58,14.341,3.126
305,AG,21.82,7.462,6.943,119.71,0.1403,2.405,0.2794,0.1382,1,1699.03,12.834,3.15
306,AG,18.84,7.128,5.908,99.13,0.14,2.522,0.3459,0.1224,1,1929.2,13.303,3.354
307,AG,21.0,7.351,8.822,98.88,0.1478,1.854,0.1143,0.153,1,1767.48,15.699,2.933
308,AG,25.9,7.685,6.516,100.63,0.2028,1.676,0.1992,0.0674,1,2032.33,13.862,3.102
309,AG,23.75,7.083,8.049,86.93,0.1501,2.34,0.2959,0.1108,1,1927.53,13.232,2.765
310,AG,27.2,7.448,6.814,91.45,0.0687,2.085,0.1332,0.1288,1,2000.95,11.942,3.815
311,AG,25.53,7.323,7.492,90.95,0.1498,1.407,0.254,0.1058,1,1836.07,13.887,3.277
312,AG,23.32,7.621,6.835,100.18,0.1411,1.387,0.2933,0.2052,1,1946.57,12.25,3.36
313,AG,27.23,7.399,8.143,93.61,0.1413,1.997,0.2247,0.1408,1,2126.14,12.461,3.415
314,AG,23.32,7.561,6.567,96.11,0.1474,1.729,0.253,0.1471,1,1841.21,13.352,3.732
315,AG,24.48,7.585,7.095,103.7,0.1391,1.789,0.3257,0.1207,1,1868.13,14.237,3.053
316,AG,21.11,7.775,6.94,101.91,0.1384,2.229,0.3369,0.1394,1,1957.21,13.671,2.969
317,AG,22.2,7.47,6.154,93.71,0.1584,2.104,0.2163,0.0914,1,1982.0,13.255,3.552
318,AG,19.91,7.556,6.986,89.64,0.1237,2.332,0.1881,0.1332,1,1627.48,13.813,3.172
319,AG,24.97,7.277,9.181,104.08,0.1116,1.027,0.1648,0.1025,1,2218.99,15.91,3.405
320,AG,18.47,7.679,6.176,101.19,0.2307,1.901,0.2786,0.1289,1,1924.66,10.775,3.075
321,AG,24.35,7.386,7.003,82.15,0.1185,2.078,0.1377,0.0376,1,2075.47,15.717,3.125
322,AG,21.43,7.416,8.009,92.49,0.143,1.189,0.2048,0.0949,1,1928.81,11.997,2.911
323,AG,25.51,7.497,7.868,96.32,0.0951,1.538,0.2262,0.1986,1,1760.74,11.736,3.904
324,AG,24.25,7.266,6.514,101.23,0.1435,1.464,0.1898,0.1732,1,2016.63,13.297,3.887
325,AG,27.46,7.534,3.64,102.28,0.112,1.809,0.2368,0.1928,1,1860.62,15.399,4.392
326,AG,24.19,7.645,7.12,97.27,0.1267,2.451,0.3739,0.1955,1,2019.2,15.248,3.223
327,AG,17.28,7.544,3.837,99.68,0.1714,2.609,0.2127,0.1669,1,1789.49,14.984,3.665
328,AG,21.8,7.262,8.264,95.51,0.1542,1.474,0.1939,0.1219,1,1975.33,15.531,2.974
329,AG,18.48,7.481,6.703,89.61,0.1571,2.011,0.2809,0.0985,1,1805.34,11.373,2.706
330,AG,20.45,7.611,7.7,92.91,0.0869,2.024,0.2344,0.1859,1,2032.29,14.536,3.287
331,AG,26.53,7.218,5.417,95.15,0.1951,1.955,0.3064,0.1426,1,1819.18,11.913,3.843
332,AG,23.91,7.339,4.637,94.72,0.1042,1.96,0.2299,0.2398,1,2189.17,11.711,4.089
333,AG,19.9,7.631,6.813,79.92,0.1859,1.921,0.2051,0.1254,1,2209.8,15.017,2.97
334,AG,18.96,7.541,6.46,91.82,0.1706,2.475,0.113,0.2189,1,2090.77,14.729,3.573
335,AG,22.1,7.562,5.91,95.45,0.1573,2.241,0.1228,0.1337,1,2068.27,16.025,3.36
336,AG,18.35,7.779,6.602,92.75,0.1144,1.376,0.1099,0.1934,1,1877.21,12.397,3.11
337,AG,19.99,7.57,9.821,93.03,0.1445,2.118,0.2428,0.2079,1,2094.57,15.432,2.908
338,AG,22.94,7.599,7.501,98.9,0.1259,2.157,0.1383,0.0991,1,1928.95,13.578,3.308
339,AG,25.47,7.907,7.759,86.37,0.1409,1.926,0.2953,0.1206,1,1819.64,12.887,3.333
340,AG,23.83,7.468,7.513,81.98,0.1325,2.253,0.2218,0.0987,1,2174.05,14.615,2.813
341,AG,15.13,7.38,8.275,92.21,0.0788,1.875,0.2053,0.0908,1,2010.57,13.657,2.954
342,AG,22.91,7.564,6.272,101.11,0.1737,1.88,0.1694,0.1667,1,1912.49,14.705,3.269
343,AG,22.22,7.566,4.034,108.5,0.1376,1.848,0.2573,0.1321,1,1708.83,12.557,3.978
344,AG,23.24,7.421,6.274,101.26,0.1255,0.993,0.1717,0.1421,1,1849.52,13.169,3.01
345,AG,26.85,7.345,7.474,83.25,0.1232,1.768,0.1609,0.1622,1,1807.62,13.517,3.561
346,AG,15.81,7.846,5.336,93.14,0.1508,1.533,0.2913,0.0657,1,1950.32,13.662,2.583
347,AG,20.23,7.549,6.288,97.05,0.1132,1.325,0.2413,0.1915,1,1702.02,12.758,3.123
348,AG,23.77,7.39,5.67,96.42,0.0723,2.374,0.2059,0.126,1,1963.69,13.357,3.396
349,AG,17.26,7.637,8.302,99.31,0.1522,2.002,0.2585,0.1613,1,1782.07,14.611,3.458
350,AG,26.43,7.484,7.399,87.66,0.1556,1.788,0.2205,0.1648,1,1837.76,13.015,3.598
351,AG,23.11,7.462,7.282,95.52,0.134,1.574,0.243,0.1948,1,1976.29,16.387,3.25
352,AG,24.54,7.584,7.246,98.36,0.1056,1.918,0.171,0.1358,1,1917.2,14.874,2.893
353,AG,20.29,7.306,6.455,101.61,0.1427,2.197,0.3442,0.0551,1,1986.84,12.71,2.436
354,AG,24.44,7.553,6.737,88.55,0.0961,1.469,0.1852,0.1423,1,1820.85,14.142,3.349
355,AG,25.21,7.787,5.078,92.24,0.1092,1.798,0.3134,0.148,1,1857.16,10.751,3.496
356,AG,22.7,7.57,3.876,73.37,0.1175,2.147,0.2087,0.0986,1,1660.59,12.396,3.404
357,AG,22.7,7.444,6.68,90.03,0.1653,1.026,0.2684,0.1459,1,1685.45,13.313,2.636
358,AG,22.81,7.424,6.889,90.8,0.1291,1.777,0.2641,0.1256,1,2165.84,11.837,3.273
359,AG,19.41,7.438,7.951,86.84,0.1266,1.628,0.2888,0.0863,1,2185.11,14.857,3.206
360,AG,21.56,7.462,8.386,96.32,0.1986,1.746,0.1696,0.1669,1,1954.79,14.726,3.612
361,AG,21.54,7.443,8.384,94.55,0.1506,1.599,0.2845,0.1175,1,1849.03,13.793,2.48
362,AG,23.15,7.637,5.302,76.93,0.1502,1.855,0.3308,0.1237,1,1929.21,11.829,3.17
363,AG,25.0,7.24,6.077,96.72,0.1289,2.569,0.2045,0.1215,1,2054.17,18.074,3.229
364,AG,18.82,7.629,7.076,87.57,0.1221,1.67,0.2221,0.1894,1,1851.38,13.558,3.292
365,AG,21.62,7.443,9.538,98.89,0.0744,1.917,0.1886,0.1384,1,1983.88,12.004,2.772
366,AG,26.44,7.557,8.276,84.75,0.1691,2.598,0.1992,0.1432,1,2028.08,12.075,3.905
367,AG,19.77,7.331,7.843,95.24,0.1534,1.58,0.3227,0.1224,1,1848.52,15.198,3.009
368,AG,19.53,7.699,6.035,92.73,0.1346,2.526,0.1597,0.1585,1,1829.94,16.668,3.226
369,AG,22.61,7.687,5.44,97.42,0.1359,1.802,0.1635,0.194,1,1944.52,13.04,4.077
370,AG,24.53,7.644,7.447,96.0,0.1621,2.513,0.3167,0.1659,1,1848.88,15.358,3.426
371,AG,22.03,7.273,5.179,92.96,0.0934,2.1,0.2575,0.1675,1,1963.91,14.188,3.69
372,AG,25.99,7.624,6.214,82.71,0.1223,1.923,0.3472,0.1642,1,1941.69,12.106,3.446
373,AG,24.57,7.561,6.362,83.18,0.1059,1.774,0.193,0.0848,1,1997.61,13.373,2.95
374,AG,24.53,7.259,8.411,90.33,0.1931,1.55,0.2276,0.105,1,2160.73,14.917,2.941
375,AG,23.66,7.496,6.074,94.93,0.1663,1.83,0.1804,0.1318,1,1917.55,15.491,4.036
376,AG,28.98,7.555,3.573,90.13,0.0739,2.159,0.2286,0.111,1,2086.43,12.409,4.165
377,AG,21.38,7.583,7.105,100.0,0.0946,1.795,0.1136,0.0974,1,1698.15,13.97,3.247
378,AG,15.99,7.527,5.661,92.77,0.136,1.673,0.2611,0.0651,1,1788.43,13.893,2.505
379,AG,26.81,7.544,6.551,87.28,0.1258,1.7,0.2394,0.0861,1,2005.14,16.261,3.728
380,AG,20.63,7.721,6.396,92.78,0.1003,2.197,0.2165,0.1297,1,2142.32,14.409,2.857
381,AG,22.32,7.684,6.172,96.81,0.1983,2.29,0.1966,0.1372,1,1683.25,15.704,2.79
382,AG,25.93,7.07,7.448,97.6,0.1494,1.533,0.1663,0.1083,1,1967.33,15.222,3.193
383,AG,17.19,7.452,4.661,110.03,0.1542,1.533,0.2637,0.1432,1,1975.96,14.14,3.743
384,AG,18.25,7.475,5.88,89.65,0.1192,1.952,0.1497,0.1226,1,1788.81,14.93,3.683
385,AG,17.2,7.237,7.321,94.41,0.1617,2.411,0.2507,0.1836,1,1854.6,16.147,2.919
386,AG,19.62,7.514,5.763,98.41,0.1286,2.258,0.3445,0.1335,1,1915.64,14.128,3.021
387,AG,23.32,7.687,4.569,94.81,0.1315,1.299,0.3091,0.1679,1,1933.48,12.881,3.148
388,AG,23.57,7.337,7.302,91.0,0.1583,1.694,0.1297,0.1481,1,2152.81,13.941,3.36
389,AG,22.83,7.55,7.848,82.61,0.0911,1.428,0.1878,0.0839,1,2038.96,15.039,3.206
390,AG,17.76,7.363,6.446,90.91,0.1879,1.693,0.2453,0.1364,1,2041.88,14.501,3.214
391,AG,15.07,7.399,4.147,86.41,0.1455,2.442,0.2158,0.0906,1,1783.81,13.682,3.199
392,AG,22.16,7.722,7.347,81.19,0.1784,1.231,0.136,0.1357,1,1884.33,19.234,3.122
393,AG,20.58,7.419,4.508,88.63,0.1077,1.152,0.2431,0.1102,1,1865.96,10.893,3.51
394,AG,23.38,7.569,6.871,86.62,0.1123,1.469,0.2194,0.1553,1,1827.95,15.343,3.24
395,AG,24.11,7.219,5.435,99.67,0.1051,1.915,0.3349,0.0863,1,1979.64,11.062,3.574
396,AG,22.41,7.779,5.108,99.81,0.1475,2.048,0.2048,0.1406,1,1849.77,13.894,3.285
397,AG,24.28,7.59,5.97,87.77,0.142,1.975,0.2901,0.1629,1,1880.87,16.918,3.693
398,AG,22.69,7.473,6.28,92.92,0.1261,2.27,0.144,0.1763,1,1994.0,13.01,3.612
399,AG,23.59,7.586,5.727,80.13,0.1096,1.095,0.1583,0.1094,1,1831.41,12.869,3.442
400,AG,19.89,7.289,7.206,91.05,0.102,2.275,0.2633,0.1407,1,2011.58,14.013,3.424
401,AG,21.46,7.677,5.965,98.19,0.1385,1.675,0.285,0.1474,1,1844.12,12.154,2.874
402,AG,22.59,7.451,7.676,101.6,0.126,2.093,0.1626,0.2019,1,2071.32,16.132,3.138
403,AG,24.46,7.469,6.837,89.3,0.1194,1.271,0.2214,0.0807,1,1925.73,12.982,3.203
404,AG,20.82,7.426,5.663,103.41,0.1864,1.802,0.1371,0.1036,1,1952.06,15.8,2.694
405,AG,23.56,7.413,5.461,82.87,0.1375,1.895,0.2091,0.25,1,1979.04,11.605,3.699
406,AG,21.2,7.604,4.523,85.02,0.1781,2.262,0.2702,0.1291,1,1999.0,10.557,3.218
407,AG,21.65,7.538,6.849,100.68,0.124,1.166,0.1939,0.0644,1,1924.0,14.025,3.451
408,AG,24.49,7.598,6.074,108.37,0.1473,1.812,0.2051,0.1167,1,1714.45,11.431,3.455
409,AG,16.02,7.499,3.653,98.95,0.1383,1.366,0.1522,0.0292,1,1920.74,16.608,3.158
410,AG,18.11,7.577,5.857,94.68,0.0891,2.002,0.1811,0.1496,1,1857.97,12.079,3.324
411,AG,17.55,7.437,5.419,77.44,0.1829,2.111,0.3255,0.1724,1,1993.07,12.044,3.002
412,AG,15.0,7.834,8.391,78.82,0.1359,2.315,0.2244,0.1035,1,1991.63,16.142,2.675
413,AG,19.97,7.265,4.457,96.04,0.1624,1.586,0.1599,0.1212,1,1773.55,13.318,3.48
414,AG,24.25,7.689,4.77,92.14,0.1174,2.171,0.2011,0.1769,1,1822.42,10.961,4.086
415,AG,21.15,7.705,7.832,86.15,0.1351,2.344,0.1242,0.07,1,2034.48,18.446,2.91
416,AG,22.59,7.372,8.128,95.52,0.114,1.143,0.1592,0.0871,1,1917.84,13.428,2.602
417,AG,25.27,7.834,5.606,95.92,0.1771,2.045,0.3016,0.1309,1,2059.87,12.608,2.979
418,AG,25.98,7.649,5.741,102.56,0.1493,2.183,0.2115,0.1099,1,1920.15,13.133,3.407
419,AG,21.79,7.646,7.239,96.09,0.151,1.697,0.3334,0.1282,1,2052.68,14.572,2.485
420,AG,26.06,7.504,3.707,104.83,0.1807,1.316,0.2143,0.0894,1,1957.07,13.553,4.103
421,AG,22.28,7.467,4.267,95.06,0.1747,2.177,0.2178,0.1486,1,1928.21,12.211,3.658
422,AG,19.49,7.469,6.163,94.08,0.163,1.32,0.2585,0.134,1,1846.23,13.577,2.943
423,AG,20.22,7.559,8.36,103.51,0.0973,1.729,0.0596,0.162,1,1937.1,15.669,2.851
424,AG,17.56,7.71,5.977,87.17,0.1191,1.784,0.2323,0.148,1,2025.57,15.346,3.449
425,AG,19.34,7.527,6.621,117.52,0.1099,2.086,0.2171,0.1483,1,1831.05,12.558,2.876
426,AG,20.93,7.363,7.861,98.0,0.1618,1.549,0.3092,0.0821,1,1987.76,17.103,2.625
427,AG,24.41,7.624,9.028,98.05,0.1451,1.526,0.2779,0.1597,1,1988.8,13.094,3.074
428,AG,27.16,7.638,5.808,99.2,0.0983,1.84,0.152,0.1268,1,1980.02,13.536,3.732
429,AG,17.85,7.598,6.48,110.02,0.1343,2.203,0.2945,0.1333,1,2043.2,12.201,3.238
430,AG,23.18,7.612,8.686,101.34,0.0952,2.715,0.2043,0.1819,1,2099.3,12.653,3.757
431,AG,18.88,7.459,4.673,82.16,0.1384,1.197,0.1657,0.1112,1,1900.77,12.925,3.498
432,AG,23.42,7.361,7.733,106.23,0.0903,1.926,0.2318,0.194,1,1957.25,12.537,3.534
433,AG,21.61,7.37,5.278,92.27,0.1559,1.365,0.2078,0.1978,1,1823.54,13.25,3.84
434,AG,16.51,7.255,6.623,95.86,0.1513,2.208,0.3123,0.1701,1,1837.03,12.627,2.843
435,AG,24.78,7.536,6.209,84.77,0.1972,1.425,0.2404,0.1008,1,2015.76,14.805,2.751
436,AG,20.18,7.487,5.35,99.21,0.1654,1.53,0.2323,0.0525,1,1976.53,12.744,2.791
437,AG,20.4,7.434,5.32,89.79,0.1273,1.564,0.274,0.1832,1,1990.02,12.018,3.215
438,AG,18.79,7.057,6.832,95.8,0.1645,1.77,0.2856,0.1445,1,1755.35,13.585,2.878
439,AG,20.04,7.313,7.695,92.73,0.0981,1.929,0.267,0.1102,1,2041.29,15.632,2.782
440,AG,23.28,7.668,6.344,110.4,0.1111,1.993,0.3052,0.1869,1,1887.92,13.363,3.445
441,AG,21.43,7.4,6.584,110.86,0.15,1.798,0.2565,0.1055,1,1760.37,13.781,3.337
442,AG,22.99,7.554,7.185,95.37,0.0753,1.268,0.2301,0.123,1,2105.55,11.643,3.875
443,AG,23.09,7.291,5.334,95.51,0.1389,2.091,0.2944,0.161,1,2093.85,11.222,3.015
444,AG,25.96,7.716,7.388,92.01,0.1094,1.779,0.2145,0.0955,1,2023.98,11.883,3.003
445,AG,20.97,7.478,7.483,103.85,0.143,2.265,0.222,0.1356,1,1989.34,16.502,2.915
446,AG,17.57,7.544,9.624,92.37,0.1077,1.517,0.3233,0.1836,1,2016.37,15.508,3.203
447,AG,25.2,7.849,6.049,91.63,0.1527,1.159,0.3173,0.1484,1,2131.57,11.526,3.483
448,AG,21.01,7.727,5.95,102.83,0.1406,1.786,0.2195,0.1899,1,1971.62,13.162,3.226
449,AG,25.34,7.454,7.423,90.69,0.182,2.318,0.1928,0.1853,1,1829.41,13.187,3.725
450,AG,23.15,7.411,7.483,94.7,0.1402,1.864,0.3078,0.1403,1,2194.48,12.251,3.588
451,AG,21.61,7.451,5.858,82.35,0.1169,1.72,0.268,0.0465,1,2069.15,14.088,3.086
452,AG,23.05,7.576,6.016,100.63,0.1326,1.452,0.2389,0.0958,1,1854.07,13.16,3.045
453,AG,27.85,7.484,7.149,110.53,0.0997,2.503,0.2007,0.1705,1,1841.6,16.675,3.842
454,AG,28.23,7.441,5.507,100.77,0.1522,1.388,0.2399,0.078,1,2030.03,14.757,3.489
455,AG,22.21,7.72,6.007,106.69,0.1577,1.51,0.2187,0.1269,1,1856.48,15.941,3.224
456,AG,22.48,7.483,6.608,88.23,0.2141,2.028,0.1801,0.1535,1,1987.9,15.751,3.106
457,AG,25.23,7.845,7.695,96.89,0.1213,1.058,0.2277,0.1988,1,2065.15,13.317,3.89
458,AG,19.46,7.514,5.774,87.45,0.132,2.31,0.2359,0.117,1,1833.56,14.855,3.234
459,AG,23.0,7.768,4.289,93.18,0.1227,2.05,0.1975,0.1143,1,1773.45,12.752,3.806
460,AG,21.92,7.554,4.2,101.18,0.1464,2.16,0.2742,0.1379,1,1919.42,15.323,3.874
461,AG,22.94,7.644,4.989,95.81,0.1515,2.023,0.2973,0.154,1,1846.59,13.478,3.65
462,AG,19.5,7.391,4.924,83.7,0.1384,1.736,0.2782,0.1338,1,1916.15,13.743,3.118
463,AG,17.23,7.372,6.314,84.48,0.1726,1.375,0.2034,0.182,1,1729.09,15.068,3.428
464,AG,15.78,7.569,5.073,83.95,0.1215,1.744,0.2653,0.108,1,1825.33,16.477,3.123
465,AG,18.65,7.648,5.657,98.93,0.1696,1.41,0.2247,0.1448,1,1947.09,12.142,3.927
466,AG,20.62,7.506,5.571,111.51,0.1562,1.994,0.1459,0.1578,1,1924.99,17.346,3.424
467,AG,21.12,7.307,5.971,105.9,0.1396,2.123,0.2604,0.124,1,1783.66,13.392,3.461
468,AG,27.81,7.296,8.087,79.83,0.1306,2.391,0.2288,0.1736,1,1915.27,11.706,3.734
469,AG,25.32,7.286,7.294,106.37,0.2128,1.949,0.3756,0.146,1,1949.2,11.946,3.324
470,AG,19.11,7.235,6.519,102.49,0.1155,2.17,0.3074,0.1716,1,1938.25,11.13,3.189
471,AG,23.04,7.516,5.947,82.64,0.1489,1.681,0.2627,0.1478,1,2007.75,14.44,3.515
472,AG,20.78,7.669,5.98,92.57,0.1175,1.609,0.235,0.1551,1,1846.15,12.25,3.514
473,AG,21.15,7.498,6.893,103.76,0.1936,1.989,0.2298,0.1147,1,1933.49,14.757,3.417
474,AG,22.56,7.161,7.201,99.4,0.1666,1.645,0.1598,0.1148,1,2110.46,16.57,3.264
475,AG,23.86,7.471,5.411,84.53,0.1196,1.908,0.1157,0.189,1,1980.75,13.196,3.547
476,AG,20.98,7.476,6.544,99.89,0.1554,1.376,0.1676,0.1654,1,1704.25,14.306,3.201
477,AG,25.19,7.814,4.062,77.9,0.1477,1.447,0.2171,0.0991,1,1992.86,10.945,3.165
478,AG,18.57,7.281,6.754,93.22,0.1245,2.054,0.0937,0.1472,1,2136.43,14.926,3.627
479,AG,22.02,7.441,7.415,104.1,0.1627,2.155,0.1873,0.045,1,1760.7,18.629,2.757
480,AG,29.79,7.756,6.164,95.15,0.1517,1.406,0.2051,0.117,1,2015.67,14.366,4.008
481,AG,22.67,7.567,8.68,91.01,0.1465,2.068,0.2071,0.1784,1,1947.55,14.496,3.364
482,AG,26.3,7.584,5.443,102.11,0.1387,1.587,0.1803,0.135,1,1953.45,12.583,3.731
483,AG,22.27,7.517,6.761,102.8,0.1529,1.807,0.1995,0.1447,1,1935.02,14.298,3.265
484,AG,23.74,7.549,6.457,105.48,0.1469,2.367,0.3234,0.0193,1,2054.86,13.253,2.809
485,AG,21.83,7.617,6.38,101.99,0.1418,2.123,0.2597,0.1243,1,1912.84,13.116,2.969
486,AG,21.49,7.379,6.363,103.65,0.1208,2.118,0.1864,0.1535,1,2047.45,15.056,3.878
487,AG,19.66,7.632,6.629,100.86,0.1908,2.564,0.2159,0.1586,1,1869.09,13.257,3.173
488,AG,23.29,7.294,7.518,97.12,0.1085,1.518,0.2183,0.1785,1,1907.43,12.695,3.806
489,AG,19.45,7.549,8.153,95.72,0.1528,1.406,0.1739,0.1316,1,1836.05,15.948,3.395
490,AG,24.0,7.527,6.497,93.1,0.1304,1.511,0.1739,0.1334,1,1734.62,12.403,3.301
491,AG,25.26,7.408,7.478,85.3,0.1928,1.698,0.2806,0.0867,1,2035.09,14.899,3.315
492,AG,23.1,7.497,5.658,87.36,0.1129,0.858,0.1948,0.1318,1,2190.15,13.693,3.473
493,AG,21.14,7.407,7.419,92.74,0.1179,1.717,0.1543,0.0895,1,1988.11,12.173,2.719
494,AG,23.36,7.339,5.586,96.93,0.1109,1.582,0.2174,0.0661,1,2004.21,13.631,3.231
495,AG,21.07,7.447,7.809,106.53,0.1497,2.114,0.2271,0.0966,1,1854.14,12.108,3.181
496,AG,24.81,7.334,9.153,94.67,0.0988,1.941,0.1016,0.2003,1,1968.99,16.448,3.359
497,AG,16.51,7.548,6.353,103.03,0.1256,1.56,0.2176,0.1292,1,1953.96,14.258,2.884
498,AG,20.99,7.327,3.869,103.63,0.0754,2.036,0.2721,0.1488,1,2091.91,15.312,3.531
499,AG,16.03,7.607,5.842,93.15,0.1472,2.089,0.2471,0.1195,1,2025.65,15.988,3.565
500,AG,17.51,7.323,7.978,99.76,0.125,1.493,0.3538,0.0684,1,1977.09,12.394,2.18
501,AG,26.09,7.415,7.164,93.05,0.0954,1.603,0.2951,0.1774,1,1992.14,10.0,3.832
502,AG,24.69,7.406,6.799,105.58,0.1726,0.91,0.3069,0.0531,1,1959.43,12.192,3.062
503,AG,19.84,7.699,7.71,100.09,0.1008,1.364,0.388,0.1178,1,1813.12,11.386,2.884
504,AG,17.49,7.55,7.081,85.48,0.1639,1.503,0.2655,0.1378,1,1728.66,17.314,2.867
